cpf,nome,data_nascimento,telefone,email,endereco
72117550026,Ana Silva,1977-11-02,(91) 63794-0265,ana.silva@yahoo.com,"Rua E221, Bairro Y"
00868759358,Rafael Souza,1992-06-11,(41) 10341-3164,rafael.souza@outlook.com,"Rua U855, Bairro L"
36760652429,Juliana Gomes,1979-09-14,(61) 03056-4139,juliana.gomes@yahoo.com,"Rua G672, Bairro P"
11757453914,Luiz Moreira,1964-03-23,(21) 22691-6697,luiz.moreira@yahoo.com,"Rua R882, Bairro A"
77321077975,Ana Barbosa,1969-07-18,(51) 89325-2880,ana.barbosa@yahoo.com,"Rua P20, Bairro D"
22507895169,Gabriela Nascimento,1974-10-24,(51) 89638-3465,gabriela.nascimento@outlook.com,"Rua Q463, Bairro D"
00550700035,Beatriz Rodrigues,1984-12-25,(81) 38299-7376,beatriz.rodrigues@hotmail.com,"Rua D100, Bairro V"
44769043821,Camila Gomes,2000-03-31,(31) 62473-1781,camila.gomes@gmail.com,"Rua U554, Bairro A"
14240392744,Pedro Rodrigues,2003-08-30,(31) 34309-8050,pedro.rodrigues@gmail.com,"Rua S489, Bairro Q"
05800849550,Ricardo Pereira,1967-05-10,(71) 99854-3534,ricardo.pereira@outlook.com,"Rua E688, Bairro U"
37049902298,Fernanda Moreira,1981-11-30,(61) 42784-9808,fernanda.moreira@yahoo.com,"Rua V107, Bairro E"
87122368529,Marcos Souza,1964-07-22,(21) 64005-2427,marcos.souza@outlook.com,"Rua R10, Bairro D"
58511387882,Pedro Lima,1982-05-21,(21) 58692-3226,pedro.lima@gmail.com,"Rua F755, Bairro K"
27188284372,Camila Rodrigues,1962-02-14,(41) 65414-5868,camila.rodrigues@yahoo.com,"Rua A119, Bairro I"
92147365352,Juliana Cardoso,1999-02-13,(11) 88356-1595,juliana.cardoso@gmail.com,"Rua X922, Bairro J"
63651637154,Ricardo Nascimento,1960-01-14,(51) 43699-5777,ricardo.nascimento@hotmail.com,"Rua Q485, Bairro Z"
26609238109,Juliana Oliveira,1966-07-14,(81) 69367-6320,juliana.oliveira@gmail.com,"Rua Y436, Bairro H"
45911455374,Juliana Ferreira,2005-04-14,(71) 87277-4348,juliana.ferreira@outlook.com,"Rua U245, Bairro I"
72380131243,André Oliveira,2001-10-19,(71) 03669-0967,andré.oliveira@gmail.com,"Rua L306, Bairro Y"
57784243677,Luiz Araújo,2001-12-06,(31) 98069-9016,luiz.araújo@hotmail.com,"Rua O187, Bairro B"
34382948470,Marcos Martins,1991-05-25,(41) 10033-0923,marcos.martins@hotmail.com,"Rua P686, Bairro D"
42369771359,Gustavo Costa,1993-09-02,(71) 31931-4919,gustavo.costa@gmail.com,"Rua L546, Bairro N"
53881968747,Gabriela Oliveira,1984-03-25,(91) 77694-5314,gabriela.oliveira@outlook.com,"Rua H769, Bairro O"
63434322585,Gustavo Mendes,1977-02-20,(21) 36783-7770,gustavo.mendes@gmail.com,"Rua J227, Bairro M"
63539534327,Beatriz Nascimento,1988-04-22,(21) 82337-4989,beatriz.nascimento@yahoo.com,"Rua D853, Bairro G"
33710029671,Fernanda Rodrigues,1961-02-05,(51) 77752-0471,fernanda.rodrigues@gmail.com,"Rua M504, Bairro C"
18902545673,Gustavo Santos,1999-09-20,(51) 96499-0913,gustavo.santos@hotmail.com,"Rua I677, Bairro C"
10045227746,Juliana Rodrigues,1983-09-25,(41) 61832-4210,juliana.rodrigues@hotmail.com,"Rua Z315, Bairro T"
44342545876,Gustavo Nascimento,1962-04-27,(21) 39904-9027,gustavo.nascimento@outlook.com,"Rua I186, Bairro S"
94431144647,Camila Ribeiro,1963-04-17,(81) 15451-6808,camila.ribeiro@outlook.com,"Rua N56, Bairro G"
64402128406,Ricardo Gomes,1981-06-20,(31) 48086-1317,ricardo.gomes@gmail.com,"Rua U853, Bairro E"
52892539588,Patrícia Nascimento,1984-10-13,(71) 58404-4997,patrícia.nascimento@hotmail.com,"Rua O552, Bairro P"
55431652707,Gabriela Carvalho,1994-03-15,(71) 27028-9517,gabriela.carvalho@gmail.com,"Rua Q933, Bairro O"
46149366888,João Lima,1994-02-03,(61) 78091-3431,joão.lima@outlook.com,"Rua D779, Bairro U"
12030342461,Ana Moreira,1975-09-15,(21) 96937-9237,ana.moreira@yahoo.com,"Rua O262, Bairro V"
96143564281,João Moreira,1994-07-06,(81) 13695-9440,joão.moreira@outlook.com,"Rua I9, Bairro S"
78972821277,Maria Mendes,1972-04-08,(21) 04709-5214,maria.mendes@yahoo.com,"Rua X426, Bairro F"
78352199928,Lucas Lima,1970-05-01,(81) 12368-5160,lucas.lima@yahoo.com,"Rua R127, Bairro O"
58912085920,Gabriela Almeida,2001-08-26,(51) 61200-4711,gabriela.almeida@hotmail.com,"Rua R139, Bairro M"
67947140449,André Gomes,1962-12-08,(61) 37735-1585,andré.gomes@gmail.com,"Rua M283, Bairro G"
02690397285,Ana Moreira,1979-05-17,(41) 52904-2284,ana.moreira@hotmail.com,"Rua D677, Bairro A"
37502141043,Carlos Silva,1969-10-13,(81) 83908-4700,carlos.silva@outlook.com,"Rua M437, Bairro V"
74831165735,Ana Ribeiro,1986-06-16,(81) 89611-8367,ana.ribeiro@hotmail.com,"Rua N348, Bairro O"
73329640047,Luiz Araújo,1993-06-06,(31) 80988-5165,luiz.araújo@outlook.com,"Rua X53, Bairro J"
35262183758,Mariana Nascimento,1962-05-10,(51) 02445-5022,mariana.nascimento@outlook.com,"Rua C146, Bairro X"
72433775001,João Oliveira,1964-06-18,(21) 47679-7643,joão.oliveira@gmail.com,"Rua L441, Bairro D"
46035032123,Fernanda Cardoso,1960-09-10,(81) 62268-3885,fernanda.cardoso@gmail.com,"Rua M883, Bairro X"
09855741038,Maria Araújo,2001-04-11,(61) 16136-9681,maria.araújo@outlook.com,"Rua J764, Bairro K"
70651739611,Beatriz Carvalho,1982-12-18,(41) 29212-7799,beatriz.carvalho@outlook.com,"Rua V947, Bairro S"
86104320534,Mariana Carvalho,1965-02-07,(61) 41199-8679,mariana.carvalho@gmail.com,"Rua O931, Bairro Z"
