renavam,placa,marca,modelo,ano,cor,valor_mercado,cpf_cliente
07420109595,GTE-3783,Toyota,Onix,2013,Vermelho,116630.0,72117550026
31637204491,HCI-2471,Honda,Onix,2014,Preto,114485.87,00868759358
96467064571,AWR-4126,Fiat,Ka,2018,Preto,98662.33,00868759358
43401332901,NXD-7726,Honda,Corolla,2003,Branco,130867.42,36760652429
48406833058,WSY-6751,Ford,Corolla,2007,Vermelho,23416.92,36760652429
53856039757,VBZ-6463,Chevrolet,Strada,2005,Branco,76240.38,36760652429
85319295201,YHQ-6065,Chevrolet,Corolla,2005,Azul,113682.26,11757453914
39080972256,AXO-6328,Honda,Onix,2014,Preto,109519.76,77321077975
14431839337,NCG-1410,Honda,Strada,2013,Branco,145149.16,77321077975
98971194840,KLG-5025,Honda,Onix,2017,Preto,130132.41,77321077975
12340053234,OVQ-6103,Fiat,Strada,2011,Branco,45877.52,22507895169
55013446536,EZT-2385,Chevrolet,Onix,2015,Preto,67886.52,22507895169
14388652695,FBM-5773,Ford,Civic,2018,Preto,44801.96,00550700035
44425648775,OZM-3945,Chevrolet,Onix,2021,Prata,99309.96,00550700035
12529222733,YUH-1639,Fiat,Corolla,2009,Preto,57391.94,00550700035
09672825217,GBX-2213,Honda,Civic,2021,Branco,20673.59,44769043821
59498419369,CON-7991,Ford,Civic,2012,Vermelho,44220.51,44769043821
78202693465,XDN-2837,Fiat,Corolla,2000,Prata,122799.8,44769043821
61664434094,YAJ-4235,Chevrolet,Civic,2008,Prata,110059.92,14240392744
01345873192,PFD-1764,Chevrolet,Ka,2024,Azul,124259.35,14240392744
87657553918,XFN-1846,Chevrolet,Ka,2002,Azul,77912.75,14240392744
45404873875,BIB-9909,Toyota,Onix,2013,Branco,119966.37,05800849550
96493893665,QJE-5572,Toyota,Civic,2009,Vermelho,107554.98,37049902298
55823297184,TWA-2105,Toyota,Corolla,2023,Preto,72294.5,37049902298
22805287356,IHD-6230,Chevrolet,Corolla,2020,Vermelho,92260.59,37049902298
99673413748,HSU-9595,Ford,Ka,2007,Prata,46433.78,87122368529
04358036008,PRF-2939,Ford,Corolla,2023,Preto,117094.3,58511387882
79673232463,JWM-8773,Ford,Onix,2010,Vermelho,25943.01,58511387882
87055721252,OYI-7477,Honda,Corolla,2023,Prata,42004.54,58511387882
51899580800,DQB-1240,Chevrolet,Ka,2021,Vermelho,22045.13,27188284372
